Title,Description,Location,Picture,Icon,Tags
Blackburn Pavilion,"Take flight to the Blackburn Pavilion, and be transported to our wonderful tropical walk-through! Come nose-to-beak with exotic toucans, soaring starlings, kooky kookaburras and plush partridges .","51.53383655382246,-0.15192031860351562",images/popups/blackburnpavillioni.jpg,images/markers/blackburn.png,"bird route, building, architecture, history, tropical birds, bird, birds, tropical bird house, bird house, victorian, toco toucans, toucans, bleeding heart doves, scarlet ibis, sunbirds, splendid sunbirds, bali starlings, scarlet chested sunbird, victoria crowned pigeon, red crested turaco, roul roul partridge, montserrat oriole, black necked stilt, socorro dove, hooded pita, whiteeye"
Blackburn Pavilion clock,See the iconic Blackburn Pavillion clock's bird-themed display every 30 minutes. Designed by Tim Hunkin in 2008.,"51.5336,-0.152",images/popups/blackburnclocki.jpg,images/markers/clock.png,
B.U.G.S.,"B.U.G.S., which stands for Biodiversity Underpinning Global Survival, is home to the Zoo's large collection of invertebrates (animals with no backbone). This interactive exhibit takes visitors on a journey around the natural world. It looks at how, despite accounting for 99% of all known life, invertebrates are often overlooked and explains the importance of this group of animals.","51.534607,-0.151971",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/bugs.png,"conservation, education, ants, bees, jellyfish, moon jellyfish, spiders, beetles, locusts, snails, rats, partula hebe, naked mole rats, millipedes, stick insects, insects, tarantulas, frogs, bali starlings, orb spiders, crickets, polynesian tree snail, maggots, coral reef, corals, fish"
Bus stop,274 towards Camden Town,"51.5378,-0.1547",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/bus.png,"transport, buses"
Bus Stop,274 towards Baker Street,"51.5366,-0.1586",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/bus.png,"buses, transport"
Butterfly Paradise,"Walking through a giant caterpillar, you will be immersed into a world of amazing and beautiful butterflies and moths from around the globe. Lose yourself in the rich variety of species as they delicately flutter around you, seeking out plants on which to feed and rest.","51.535139613697304,-0.15233337879180908",images/popups/butterflyi.jpg,images/markers/butterfly-paradise.png,"butterflies, butterfly, moths, pupae, walk-through, insects, bugs, walk through, interactive"
Camels,Meet our herd of Bactrian camels.,"51.534073476574285,-0.1548546552658081",images/popups/cameli.jpg,images/markers/camel.png,"bactrian camels, mammal"
Car park,Car parking is available and payable on the day. The car park is outside of the London congestion charge zone.,"51.5367,-0.1509",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/car.png,"parking, carpark, cars, trasport"
Carousel,Fun for all the family on our traditional animal-themed carousel.,"51.5355,-0.153",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/carousel.png,"kids, children, fairground, ride, funfair"
Coatis,"Like their cousin the racoon, coatis are very intelligent mammals. They can tell each others' moods using a variation of chirps (for joy when being groomed), snorts (whilst digging is a sign of territorial claim) and grunts. Coatis have strong limbs which they use to climb and dig. When sleepy they prefer the safety of the rainforest canopy.","51.5335,-0.1526",images/popups/coatii.jpg,images/markers/coati.png,"animal adventure, children's zoo, small, mammal"
Colobus monkeys,Colobus monkeys are native to Africa. The name 'colobus' means 'he cut short' and refers to the species' stumpy thumb. Colobus monkeys are herbivores and live high up in the canopy. They live in small groups with one male and a number of females and their offspring. The babies are born completely white and later turn into their tell-tale black and white. You can find these beautiful primates in Gorilla Kingdom.,"51.5355,-0.1549",images/popups/colobus.jpg,images/markers/colobus.png,"black and white colobus monkey, baby, animal babies, zoo babies"
Diana monkeys,"Originating from West Africa, these little long-tailed athletes rarely come down to the ground, living and sleeping in the trees. To avoid predators Diana monkeys have a wide range of alarm calls, many of which are recognised by other forest dwellers trying to avoid being eaten.","51.5355750709733,-0.15462398529052732",images/popups/dianamonkeyi.jpg,images/markers/diana-monkey.png,mammal
Display lawn,Watch our daily Deadly Birds Live! demonstration during peak season. Otherwise a great picnic spot.,"51.5346,-0.1533",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/display-lawn.png,
East Bridge,Over the Regent's Canal.,"51.537029901854304,-0.15368521213531494",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/bridge.png,"history, architecture"
East tunnel,Under the Outer Circle.,"51.53643262599534,-0.15335261821746826",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/tunnel.png,"history, architecture"
Education centre,Bring your pupils along for a visit at ZSL London Zoo and discover all that ZSL has to offer.,"51.5363,-0.1586",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/education.png,"schools, classrooms"
Exit - Primrose Hill,Turnstile exit not suitable for buggies or wheelchairs. Main exit is through the Gift Shop on Barclay Court.,"51.5373,-0.1544",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/exit-primrose.png,
First aid post,"Desigend by Decimus Burton in 1828, the Clock Tower is a Grade II listed building. Formerly home to the Zoo's llamas, it now serves as the Zoo's first aid post for visitors.","51.5355,-0.1541",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/first-aid.png,"history, architecture, clock tower, decimus burton, house sparrows, listed, building"
Fish and chips,This jaunty Fish & Chip shop sells fresh flaky fish and crispy-soft chips. Best eaten in the fresh air of our outdoor tables sheltering in the shade of a tree.,"51.5345,-0.1521",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/food.png,"food, drink"
Flamingos,"Flamingos are easily identifiable, colourful wading birds and often form large flocks of up to a million birds. Flamingos are often seen standing on one leg. This stance is thought to keep the hidden leg warm amongst their feathers. On very hot days at ZSL London Zoo visitors can often see the flamingos standing on both legs.","51.53490102805925,-0.1527947187423706",images/popups/flamingoi.jpg,images/markers/flamingo.png,"bird route, birds, flamingoes, pink"
Fruit bat forest,Enter Fruit Bat Forest and discover our Rodrigues fruit bat. This species of megabat is critically endangered in the wild.,"51.53666953523482,-0.15441477298736572",images/popups/bati.jpg,images/markers/bat.png,"bats, nocturnal, halloween, creepy, mammals"
Galapagos tortoises,"Galapagos tortoises are the largest tortoises in the world. They can live for over 150 years and they carry around huge, bony shells that they can hide inside if they feel threatened. ZSL London Zoo is home to male tortoise Dirk who is over 70 years old, and his girlfriends Dolly, Dolores, Polly and Priscilla. ","51.5347,-0.1557",images/popups/tortoisei.jpg,images/markers/tortoise.png,"giant, giants of the galapagos, dolly, dirk, dolores, polly, priscilla, reptiles"
Gibbons,"The white-cheeked gibbon is found in the jungle in southwest Vietnam and Laos. This long-armed creature is born, unusually, with yellow fur that turns black as it matures in males and to brown then grey in females. They mainly stick to a vegetarian diet eating things like leaf buds, shoots and fruits, rarely eating meat.","51.5356,-0.1542",images/popups/gibboni.jpg,images/markers/gibbon.png,"monkeys, jimmy, mammal"
Giraffes,"The giraffe is the tallest land mammal. Surprisingly, giraffes have the same number of bones in the neck as we do – seven. Valves in neck prevent blood rushing to the head when they bend down to drink. See our three female giraffes in their paddock or in the Giraffe House.","51.53561844963087,-0.1577085256576538",images/popups/giraffei.jpg,images/markers/giraffe.png,"tall, mammal, into africa, ellish"
Giraffe viewing platform,Come eye to eye with the world's largest land mammal on our giraffe viewing platform.,"51.5357,-0.1573",images/popups/giraffeplatformi.jpg,images/markers/viewing.png,"meet the giraffes, giraffe feeding"
Globe sundial,Designed in 1989 by Wendy Taylor. The fin casting the least shadow indicates the time.,"51.5348,-0.152",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/sundial.png,"architecture, sculture"
Gorilla Kingdom,Gorilla Kingdom brings the African rainforest to the heart of London. Visitors can get breathtakingly close to our colony of western lowland gorillas in a natural and engaging environment.,"51.53530478763722,-0.15506386756896973",images/popups/gorillai.jpg,images/markers/gorilla.png,"gorillas, silverback, mjukuu, western lowland"
Hunting dogs,"African hunting dogs are social, communally hunting carnivores, which live in small cohesive packs typically composed of a dominant breeding pair, a number of non-breeding adults, and their dependent offspring.","51.536098948918685,-0.15751004219055176",images/popups/huntingdogi.jpg,images/markers/dog.png,"african, mammals, spotted"
Information Point,Our helpful volunteers are always on hand to answer your questions or point you in the right direction.,"51.5354,-0.1561",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/information.png,
Komodo dragons,"The Komodo dragon is the largest living lizard. Armed with saliva laced with deadly bacteria, they ambush their prey and often wait for the animal to die from the infections caused by the wounds. Our dragons' lair gives visitors panoramic views of our pair of prowling dragons.","51.5346,-0.1561",images/popups/komodoi.jpg,images/markers/komodo-dragon.png,"reptiles, lizards"
Kune kune pigs,"In Animal Adventure you can come up close and personal to these cute, chubby pigs. Kune kune pigs are a domestic pig from New Zealand. The name kune kune means 'fat and round' in the Maori language. Small and hairy they have a friendly, placid nature and are often kept as pets.","51.5339,-0.1537",images/popups/pigi.jpg,images/markers/pig.png,"children's farm, animal adventure"
Lemurs,"Lemurs are unique in that they are found only on Madagascar, an island off the coast of Africa. Only 35 of over 50 known species remain today. In lemur society it is the females that are dominant. Hierarchy normally breaks down during breeding season when the males compete equally for females by having 'stink fights'.","51.5365694328897,-0.15448451042175293",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/lemur.png,"ringtailed, ring-tailed, ring tailed, primates, mammals"
Coming soon: Land of the Lions,"Land of the Lions�will open in spring 2016 at ZSL London Zoo and will provide state-of-the-art facilities for a breeding group of endangered Asiatic lions, of which only 400 remain in the wild. Please note: There are currently no lions on show.","51.534405,-0.15299",images/popups/lioni.jpg,images/markers/lion.png,"asian lions, lion terraces, big cats, mammals, lucifer, lion, land of the lions"
Llamas and alpacas,Llamas and alpacas are domesticated descendents of other wild camelids. Both are found in South America and are bred for their thick wool. Llamas are also used as pack animals and can carry up to half of their own body weight.,"51.5342,-0.1539",images/popups/llamai.jpg,images/markers/llama.png,"children's farm, animal adventure, mammals"
Lord Paul bust,"Bust of Lord Paul, supporter of ZSL.","51.53397336851974,-0.15434503555297852",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/statue.png,sculpture
Lovebirds,"Lovebirds belong to the parrot family and are a very social and affectionate species found in Africa and Madagascar. They get their name from their tendency to pair up in male-female groups, spending most of their time close together.","51.53384322771968,-0.1522207260131836",images/popups/lovebirdsi.jpg,images/markers/love-bird.png,"birds, parrots, blackburn pavillion"
Main entrance,Main entrance to the Zoo on the Outer Circle. Tickets are available to buy here on the day of visit.,"51.5357,-0.1557",images/popups/entrancei.jpg,images/markers/entrance.png,main gate
Mangabeys,"Mangabey monkeys have large cheek pouches in which they store everything they eat, mainly fruit but also leaves, nuts, seeds, insects and spiders. Deforestation and hunting have decimated the mangabey populations making each individual monkey incredibly precious. ZSL London Zoo is at the forefront of breeding these endangered monkeys, as part of the European Endangered species Programme. Our white-naped mangabeys live in a purpose-built enclosure which is part of Gorilla Kingdom. ","51.5351,-0.1545",images/popups/mangabeyi.jpg,images/markers/mangabey.png,"monkeys, animal baby, babies, primates, endangered"
Mappin Pavilion,"This beautiful Grade II listed building overlooks wallabies and emus in their Australian Outback, and to the rear provides stunning views of Regent's Park. The Mappin Pavilion can be hired out for corporate meetings, barbeques, summer parties, wedding ceremonies, and other private functions.","51.53462073004765,-0.15649080276489258",images/popups/mappini.jpg,images/markers/mappin.png,"mappin terraces, venue, event space"
Meerkats,"They live in families, they stand guard, they babysit... and they can even kill scorpions. See our breeding group of meerkats!","51.5364,-0.1545",images/popups/meerkat2i.jpg,images/markers/meerkat.png,"pups, cute, small, mammals, happy families"
Meerkats,"They live in families, they stand guard, they babysit... and they can even kill scorpions. See our mob of meerkats in Animal Adventure!","51.5337,-0.1533",images/popups/meerkati.jpg,images/markers/meerkat.png,"pups, cute, small, mammals, animal adventure, children's farm"
Meet the Monkeys,Go in with our breeding group of black-capped squirrel monkeys and observe them in their natural habitat. The walk-through exhibit is open to the skies of the capital with no boundaries between the animals and our visitors!,"51.533549575316705,-0.1516038179397583",images/popups/squirrelmonkeyi.jpg,images/markers/squirrel-monkey.png,"squirrel monkeys, walk-through, walk through, interactive"
Membership kiosk,The place to buy annual zoo membership or collect your membership card and welcome park if you have pre-puchased membership online.,"51.5357,-0.1536",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/membership.png,"information, members"
Terrace restaurant,Opening summer 2013. This spacious human feeding enclosure is bustling with happy humans engaging in natural hunter-gathering behaviour. Feeding Time at the Zoo has never been so enticing.,"51.536057,-0.153187",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/food.png,"cafe, food, drink, eating, feeding time, place to eat"
Okapi,"Only officially discovered in 1901 by a fellow from ZSL, this 'forest zebra' is actually a very shy relative to the giraffe. A first glance an okapi may look a little strange, but its zebra-striped bottom is vital for its survival in native Africa. The stripes help it to blend into the forest undergrowth, making it hard to spot by predators.","51.53540489276363,-0.15863656997680664",images/popups/okapii.jpg,images/markers/okapi.png,"into africa, african, forest giraffes, okapis, mammals"
Lubetkin Penguin Pool,"The Penguin Pool built in 1934 is perhaps the most famous building in the Zoo. It was designed by the influential Tecton architectural firm, led by Russian emigre Berthold Lubetkin. Tecton's brand of Modernist style was unusually elegant and playful and is a reminder of how innovative the style must have looked when it first appeared. It is a Grade I listed building and no longer home to any animals.","51.53399005321076,-0.15339553356170654",images/popups/lubetkini.jpg,images/markers/lubetkin.png,"old penguin pool, history, architecture"
Otters,"The oriental short-clawed otter is the smallest of the otter family. They tend to form groups of about 12, with their male-female bonds being very strong and they remain connected to one another through noises and scents.","51.536496024363366,-0.15412509441375732",images/popups/otteri.jpg,images/markers/otter.png,"mammals, happy families, small, Hari"
Outback,"The Mappin Terrace, once home to ZSL London Zoo's polar bears, is now transformed in to the Australian Outback, home to wallabies, emus and black swans.","51.5348,-0.1564",images/popups/outbacki.jpg,images/markers/outback.png,"emus, black swans, austrailian, mappin terraces, listed, architecture, history, bear mountain, wallabies"
Owls,"See the Zoo's collection of owls, including the smallest species the burrowing owl.","51.5369,-0.1558",images/popups/owli.jpg,images/markers/owl.png,birds
Parrots,Spot the most colourful animals in the Zoo including military macaws and hyacinth macaws.,"51.5352914402704,-0.15205979347229004",images/popups/parroti.jpg,images/markers/parrot.png,birds
Peacocks,See these large birds displaying their impressive blue and green plumage in the Snowdon Aviary.,"51.5364,-0.1579",images/popups/peacocki.jpg,images/markers/peacock.png,"birds, snowdon aviary"
Pelicans,"The eastern white pelican is found across Europe and Asia in swamps and shallow lakes, often migrating to Africa during the winter months. It is a large pelican weighing around 10kg, measuring up to 160cm in length and a wing span of up to 280cm. ","51.53502782897362,-0.15266060829162595",images/popups/pelicani.jpg,images/markers/pelican.png,"birds, dinosaurs"
Penguin Beach,There are p-p-plenty of penguins at ZSL London Zoo in our stunning new Penguin Beach exhibit – England's biggest penguin pool.,"51.5358,-0.1526",images/popups/penguini.jpg,images/markers/penguin.png,"bird route, penguins, rockhopper, humboldts, meet the penguins"
Playground,Perfect for your little creatures and a good picnic spot.,"51.5352,-0.1529",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/playground.png,"kids, play ground, children"
Porcupines,"Porcupines are rodents with a coat of sharp spines, or quills, that they use to defend themselves from predators. They are indigenous to the Americas, southern Asia, and Africa. ","51.5336,-0.153",images/popups/porcupinei.jpg,images/markers/porcupine.png,"animal adventure, children's zoo, spikey, blondie"
Pygmy Hippos,"Generally solitary, pygmy hippos usually spend daylight hours in or around the water keeping cool, but emerge to feed in the forest at night. Their hairless skin secretes a substance which may act as sunscreen and antibacterial agent. They originate from West Africa and live in lowland forests and swamps.","51.535731901309035, -0.15678048133850098 ",images/popups/hippoi.jpg,images/markers/pygmy-hippo.png,"hippopotamus, thug, mammals"
Rainforest Life,"Enter London's only living rainforest where you can come face to face with a variety of amazing rainforest species including monkeys, sloth, armadillo and tamandua. Then step out of the light and into the 'Night Life' area, where you'll discover the bats, rats and nocturnal wonders who make the dark their home.","51.53636922753901,-0.15537500381469727",images/popups/rainforesti.jpg,images/markers/rainforest.png,"bird route, slender loris, potto, chincillas, chipmunks, sloths, tamarin monkeys, golden headed lion, emperor, trumpeter, red titi monkey, sunbittern, rats, bats, naked mole rats, water rats, bushbabies, bushbaby, scorpians, green iguanas, cotton top tamarins, piranhas"
Reindeer,You don't need to go as far as Lapland to see reindeer - meet our all-female herd at ZSL London Zoo.,"51.53657944313412,-0.15385687351226807",images/popups/reindeeri.jpg,images/markers/reindeer.png,"christmas, mammals"
Reptile house,"Enter the Reptile House to find ZSL London Zoo's amazing collection of reptiles and amphibians, including snakes, lizards, frogs, and crocodiles!","51.5351,-0.1556",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/reptile-house.png,"snakes, lizards, monitors, tortoises, crocodiles, turtles, black mambas, cobras, king cobras, frogs, amphibians, poison dart frogs, mossy tree frogs, toads, cecilian"
Sblended Milkshakes,"Sblended Milkshakes is home to thousands of magic milkshake moments. Choose your favourite treats and add tops , bottoms, syrups, sauces or whipped cream.","51.535638470535794,-0.1526927947998047",images/popups/sblended.jpg,images/markers/food.png,"drink, milkshakes, snacks"
Sheep,Meet our sheep in the Animal Adventure 'Touch Zone'.,"51.5339,-0.1539",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/sheep.png,"animal adventure, children's farm"
Snowdon aviary,"This aviary has been a landmark on the London skyline since it was built in 1962. Designed by and named after Lord Snowdon, it was the first walk-through aviary in existence - pushing the architectural boundaries of its time. This aviary is home to some of the most majestic birds in the world, including white ibis and peacocks.","51.5364092686796,-0.15750467777252197",images/popups/snowdoni.jpg,images/markers/snowdon.png,"bird route, history, architecture, birds"
Splash Zone,"Our water-based zone near the café lets children play and learn how water gives life and the importance of conserving the environment. This area allows kids to become active in our mini stream, take a seat in our secret garden or be enchanted by some story telling in the tipi.","51.5338,-0.1537",images/popups/splashzonei.jpg,images/markers/splash.png,"animal adventure, children's farm, kids"
Main exit,Main exit into Regent's Park.,"51.536235756815984,-0.15270888805389404",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/exit.png,zoo exit
Tapir,Tapirs have changed little over 35 million years. They use their short flexible trunk as a snorkel when swimming. The dramatic colouring helps to break up the outline of the body to provide camouflage in the shady forests. The young are striped and look different from their mother.,"51.53468079405258,-0.15527307987213135",images/popups/tapiri.jpg,images/markers/tapir.png,tapir
Tiger Territory entrance,"Embark on a journey through an Indonesian habitat, coming face-to-face with stunning Sumatran tigers through the floor-to-ceiling glass windows.","51.534947744226685,-0.15490829944610596",images/popups/tigerterritoryi.jpg,images/markers/tiger.png,"sumatran tigers, jae jae, melati, endangered"
Toilets - Animal Adventure,"Male, female and disabled toilets plus baby-changing facilities.","51.533816532124966,-0.15331506729125974",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/tiger-territory.png,facilities
Toilets - B.U.G.S.,"Male, female and disabled toilets plus baby-changing facilities.","51.53406012884638,-0.15157699584960938",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/toilet-baby.png,facilities
Toilets - Into Africa,Male and female toilets.,"51.5359,-0.1578",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/toilet-baby.png,facilities
Toilets - Terrace Restaurant,"Male, female and disabled toilets plus baby-changing facilities.","51.536075591431725,-0.15338480472564697",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/toilet.png,facilities
Toilets - Vultures,"Male, female and disabled toilets plus baby-changing facilities.","51.5358,-0.1549",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/toilet-baby.png,facilities
Warthogs,"Despite their reputation for gluttony, warthogs don't like overeating, and are very smart, adaptable animals. They live on the grasslands south of the Sahara and have very long legs to help them to run fast. Warthogs raise their young and take shelter in burrows dug by themselves or by aardvarks.","51.5358,-0.1588",images/popups/warthogi.jpg,images/markers/warthog.png,"into africa, african"
West bridge,Over the Regent's Canal.,"51.53640593191922,-0.15676438808441162",images/popups/westbridgei.jpg,images/markers/bridge.png,architecture
West tunnel,Take the west tunnel under the Outer Circle.,"51.53561177599392,-0.15650689601898193",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/tunnel.png,architecture
Wildlife garden,Take a break in our wildlife garden and spot native species.,"51.53479257962853,-0.1518961787223816",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/woodland.png,
Winnie the pooh statue,Winnie was a black bear who lived from 1915 until 1934 and was the inspiration for the famous children's story books written by A. A. Milne. ,"51.5339,-0.1535",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/statue.png,"sculpture, history, famous animals"
Woodland Walk,Spot native species on the Wooldland Walk.,"51.5368,-0.1537",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/woodland.png,british wildlife
Woodland walk - west entrance,Spot native species on the Woodland Walk.,"51.53636255401216,-0.15642642974853516",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/woodland.png,british wildlife
Vultures,"Commonly misperceived throughout history as symbols of death, vultures actually plays a vital part of nature's clean-up crew helping prevent the spread of disease in many countries.","51.53588873110441,-0.1544871926307678",images/popups/vulturei.jpg,images/markers/vulture.png,"birds, bird route, ruppell's griffon, king vulture"
Yellow Mongooses,"In the wild, yellow mongooses are found in the scrubland and grasslands of southern Africa. They live in colonies of up to 20 individuals in underground burrow complexes. Their social structure is usually based around a central breeding pair and their offspring.","51.5335,-0.153",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/mongoose.png,"animal adventure, children's zoo"
Zebras,"Chapman's zebra are social animals, living in large herds. They mix freely with groups of other grazing animals such as wildebeest. Together they form an effective early warning system against predators, such as lions and hyenas.  The stripes are thought to confuse predators; in a herd of zebra it is difficult for a hunting lion to see the outline of an individual zebra – the stripes seem to merge across several animals, known as 'disruptive colouring'.","51.5355,-0.1579",images/popups/zebra.jpg,images/markers/zebra.png,"into africa, african"
ZSL offices and library,"Located on the Outer Circle, the Zoological Society of London's Library contains a unique collection of journals and books on zoology and animal conservation.","51.5367,-0.1528",images/popups/officei.jpg,images/markers/zsl.png,building
Zoo waterbus stop,The London Waterbus Company runs a scheduled service along the Regent's Canal between Camden Lock or Little Venice and ZSL London Zoo.,"51.5365,-0.156",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/blue.png,"transport, boat"
Zoo World,"Temporary housing for some of the Zoo's small mammals including skunks, polecat ferrets and armadillos. The Casson Pavilion was designed by Sir Hugo Casson and built in 1952-5 as a home for the Zoo's elephant herd. The iconic concrete structure was inspired by elephants gathering around a watering hole.","51.53438381014425,-0.15439867973327637",images/popups/cassoni.jpg,images/markers/casson.png,"mammals, lemur, skunk, armadillo, kinkajou, ferrets, cassons, elephant house"
